,SO2,O3,PM10,PM25,NO2,pr
5725,6.4,16,32.0,15.0,15.4,
5726,5.0,15,35.0,16.0,11.7,
5727,5.2,14,38.0,17.0,10.7,
5728,4.1,14,41.0,18.0,11.2,
5729,4.9,14,40.0,20.0,11.8,
5730,3.6,16,44.0,23.0,7.3,
5731,4.1,18,49.0,24.0,8.1,
5732,4.1,21,48.0,24.0,7.6,
5733,3.2,24,47.0,23.0,9.3,
5734,2.5,28,45.0,23.0,9.6,
5735,2.5,32,40.0,22.0,5.3,
5736,3.9,35,40.0,21.0,2.8,
5737,3.4,38,36.0,21.0,2.1,
5738,3.2,39,32.0,18.0,2.1,
5739,3.0,40,31.0,17.0,2.7,
5740,2.6,41,29.0,16.0,3.7,
5741,1.7,40,29.0,16.0,3.0,
5742,1.9,38,29.0,16.0,2.6,
5743,1.7,35,28.0,17.0,3.7,
5744,1.7,33,28.0,17.0,7.7,
5745,1.6,31,28.0,18.0,9.1,
5746,1.7,29,27.0,17.0,8.6,
5747,2.0,28,24.0,16.0,8.2,
5748,2.5,27,22.0,14.0,10.3,
5749,3.2,24,20.0,14.0,12.2,
5750,2.9,22,20.0,13.0,12.7,
5751,3.1,20,20.0,13.0,9.6,
5752,3.0,19,22.0,15.0,8.9,
5753,2.5,19,25.0,15.0,5.4,
5754,2.4,18,26.0,16.0,7.8,
5755,1.9,18,24.0,15.0,8.1,
5756,1.9,19,22.0,13.0,7.9,
5757,1.3,21,20.0,11.0,6.7,
5758,1.7,24,20.0,11.0,4.2,
5759,2.0,26,20.0,10.0,6.1,
5760,2.2,30,22.0,10.0,5.1,
5761,2.6,35,22.0,10.0,4.9,
5762,2.4,39,23.0,11.0,8.3,
5763,2.4,42,25.0,12.0,8.8,
5764,2.4,45,26.0,12.0,8.2,
5765,2.1,47,26.0,12.0,7.7,
5766,2.1,47,26.0,13.0,9.1,
5767,2.1,48,26.0,14.0,11.5,
5768,2.5,46,26.0,15.0,11.2,
5769,1.7,43,26.0,16.0,9.1,
5770,2.5,39,32.0,15.0,15.0,
5771,2.9,35,29.0,15.0,12.3,
5772,2.7,31,29.0,15.0,12.5,
5773,3.0,28,29.0,14.0,10.2,
5774,2.1,26,26.0,13.0,9.3,
5775,3.4,25,28.0,14.0,9.4,
5776,3.1,26,30.0,14.0,10.5,
5777,4.1,26,30.0,15.0,14.4,
5778,4.7,27,31.0,16.0,15.7,
5779,4.0,31,32.0,16.0,13.7,
5780,4.2,36,33.0,17.0,18.3,
5781,3.4,44,32.0,18.0,14.2,
5782,2.9,53,34.0,19.0,10.2,
5783,3.1,62,36.0,20.0,8.6,
5784,3.2,69,40.0,20.0,6.3,
5785,3.0,77,44.0,22.0,8.1,
5786,2.6,82,46.0,22.0,8.8,
5787,2.5,87,49.0,22.0,9.8,
5788,2.5,90,52.0,23.0,13.4,
5789,2.1,91,55.0,24.0,12.7,
5790,2.4,88,59.0,24.0,17.5,
5791,4.0,82,62.0,27.0,21.8,
5792,4.0,76,66.0,29.0,18.8,
5793,4.5,69,70.0,33.0,20.3,
5794,4.5,63,72.0,36.0,15.3,
5795,4.2,57,70.0,36.0,13.7,
5796,4.6,52,66.0,35.0,9.6,
5797,3.9,48,60.0,32.0,8.9,
5798,4.4,45,56.0,30.0,11.9,
5799,3.6,43,56.0,29.0,11.0,
5800,3.6,43,54.0,29.0,11.9,
5801,3.0,43,53.0,29.0,15.4,
5802,3.9,45,52.0,28.0,10.2,
5803,2.9,47,49.0,28.0,5.3,
5804,3.1,50,48.0,28.0,4.9,
5805,3.4,54,46.0,28.0,7.4,
5806,3.4,54,46.0,28.0,7.4,
5807,3.6,66,46.0,25.0,8.1,
5808,4.0,74,46.0,27.0,9.8,
5809,3.5,82,46.0,27.0,13.3,
5810,3.5,82,46.0,27.0,13.3,
