,SO2,O3,PM10,PM25,NO2,pr
546,3.3,41,32.0,15.0,9.9,
547,3.1,41,38.0,16.0,13.2,
548,3.0,41,41.0,16.0,18.6,
549,3.2,40,48.0,18.0,19.1,
550,3.2,37,44.0,19.0,18.9,
551,3.3,33,46.0,20.0,23.9,
552,3.6,29,166.0,22.0,31.6,
553,4.1,23,166.0,22.0,38.8,
554,3.7,18,166.0,23.0,34.5,
555,3.3,14,178.0,23.0,31.6,
556,4.8,12,178.0,24.0,28.6,
557,4.3,9,72.0,25.0,27.4,
558,4.2,7,61.0,26.0,23.3,
559,3.7,5,54.0,27.0,24.9,
560,4.1,4,57.0,27.0,37.7,
561,5.2,4,73.0,29.0,27.2,
562,6.6,5,80.0,30.0,30.1,
563,8.1,7,86.0,30.0,28.5,
564,5.3,10,86.0,31.0,28.0,
565,6.3,13,86.0,31.0,28.5,
566,1.1,18,86.0,32.0,20.3,
567,1.1,18,86.0,32.0,20.3,
568,1.1,25,86.0,34.0,14.5,
569,1.1,0,86.0,34.0,14.5,
570,1.1,41,86.0,30.0,10.3,
571,1.8,44,86.0,28.0,10.7,
572,1.5,45,86.0,27.0,12.9,
573,1.5,45,86.0,27.0,12.9,
574,1.5,45,86.0,27.0,12.9,
575,1.7,38,45.0,26.0,16.2,
576,1.7,36,46.0,27.0,14.8,
577,2.0,32,47.0,28.0,20.8,
578,2.2,29,47.0,29.0,18.8,
579,3.0,26,46.0,30.0,19.5,
580,4.4,24,45.0,29.0,13.9,
581,2.5,21,46.0,29.0,14.7,
582,2.8,20,48.0,30.0,14.3,
583,2.6,18,54.0,34.0,14.5,
584,2.5,15,60.0,37.0,14.4,
585,2.8,13,64.0,41.0,16.8,
586,3.3,12,68.0,44.0,19.5,
587,3.1,14,71.0,46.0,15.4,
588,3.0,18,72.0,47.0,11.0,
589,2.8,23,72.0,48.0,11.4,
590,2.6,30,70.0,48.0,8.7,
591,2.6,35,68.0,49.0,7.4,
592,2.5,40,66.0,46.0,5.9,
593,2.2,46,63.0,43.0,7.4,
594,4.4,51,60.0,40.0,11.2,
595,5.8,53,58.0,37.0,18.4,
596,2.7,50,58.0,37.0,17.2,
597,2.2,47,58.0,36.0,16.7,
598,2.1,42,60.0,36.0,11.9,
599,1.8,39,60.0,35.0,11.4,
600,1.5,35,57.0,33.0,10.3,
601,1.3,31,53.0,34.0,13.0,
602,1.2,27,48.0,33.0,11.2,
603,1.2,25,42.0,30.0,11.4,
604,2.6,24,38.0,28.0,10.8,
605,1.8,24,34.0,25.0,10.5,
606,1.8,23,32.0,22.0,10.1,
607,1.5,22,30.0,22.0,11.5,
608,1.6,22,28.0,21.0,11.7,
609,1.7,23,26.0,21.0,11.9,
610,1.8,24,26.0,22.0,12.3,
611,3.1,25,26.0,22.0,11.0,
612,3.7,26,24.0,22.0,9.9,
613,2.8,28,23.0,19.0,8.9,
614,2.2,30,22.0,17.0,6.8,
615,2.3,32,20.0,16.0,7.7,
616,2.5,33,20.0,15.0,7.4,
617,2.5,34,20.0,15.0,8.7,
618,2.5,35,22.0,16.0,10.7,
619,2.3,35,23.0,16.0,13.0,
620,2.2,34,24.0,17.0,15.7,
621,2.1,32,24.0,16.0,16.8,
622,2.1,30,23.0,15.0,16.3,
623,2.3,28,20.0,14.0,18.4,
624,2.5,27,19.0,14.0,19.3,
625,2.6,26,18.0,16.0,19.0,
626,2.7,26,19.0,18.0,20.3,
627,2.5,26,20.0,19.0,17.2,
628,4.1,26,20.0,20.0,16.5,
629,3.3,26,20.0,19.0,16.5,
630,3.2,26,19.0,18.0,17.3,
631,2.5,27,18.0,18.0,12.5,
632,2.6,27,17.0,17.0,10.4,
633,2.5,26,16.0,17.0,18.3,
634,2.8,25,16.0,17.0,18.5,
635,2.8,25,18.0,18.0,15.9,
636,2.3,26,18.0,18.0,9.9,
637,2.3,29,21.0,17.0,9.3,
638,2.3,33,25.0,17.0,8.9,
639,2.7,39,29.0,18.0,10.1,
640,2.6,44,36.0,20.0,8.1,
641,2.6,49,45.0,24.0,7.4,
642,3.2,54,52.0,27.0,13.2,
643,3.8,56,62.0,30.0,23.4,
644,3.2,55,69.0,33.0,23.4,
645,2.8,53,72.0,33.0,31.2,
646,2.8,48,75.0,33.0,30.5,
647,2.8,41,70.0,33.0,27.2,
648,3.3,34,66.0,31.0,27.0,
649,3.0,28,62.0,30.0,30.7,
650,3.3,21,58.0,30.0,29.6,
651,3.7,17,60.0,30.0,34.7,
652,5.9,14,60.0,30.0,29.0,
653,4.8,13,65.0,31.0,23.5,
654,4.4,12,71.0,33.0,19.8,
655,4.8,12,72.0,34.0,19.5,
656,4.1,12,74.0,35.0,21.0,
657,3.6,12,73.0,35.0,24.5,
658,4.7,12,71.0,35.0,29.1,
659,6.2,15,74.0,36.0,29.0,
660,6.1,19,81.0,38.0,19.6,
