,SO2,CO,O3,PM10,PM25,NO2,NO,pr
3644,2.5,0.43,14.0,41.0,6.0,8.2,7.0,
3645,4.5,0.37,21.0,45.0,10.0,12.0,7.0,
3646,2.3,0.25,34.0,43.0,15.0,7.3,3.6,
3647,3.3,0.23,48.0,39.0,17.0,6.9,2.9,
3648,4.6,0.28,48.0,30.0,16.0,8.4,3.9,
3649,3.6,0.26,57.0,35.0,21.0,7.3,3.3,
3650,3.0,0.16,55.0,35.0,20.0,6.3,2.3,
3651,3.1,0.14,49.0,41.0,18.0,6.9,3.1,
3652,3.0,0.15,37.0,32.0,9.0,6.2,3.3,
3653,2.4,0.16,23.0,30.0,5.0,6.1,3.8,
3654,2.5,0.32,22.0,26.0,6.0,9.4,4.5,
3655,2.0,0.3,25.0,34.0,10.0,11.0,3.1,
3656,2.2,0.44,17.0,35.0,6.0,17.0,3.5,
3657,2.4,0.63,11.0,39.0,13.0,21.0,3.4,
3658,2.7,0.53,9.5,42.0,13.0,18.0,3.1,
3659,2.2,0.36,8.9,43.0,10.0,15.0,2.6,
3660,1.9,0.26,9.9,42.0,10.0,10.0,2.6,
3661,2.0,0.22,8.8,40.0,10.0,9.0,2.2,
3662,1.5,0.18,10.0,35.0,10.0,7.8,1.4,
3663,1.7,0.16,9.8,31.0,10.0,7.7,1.5,
3664,1.5,0.14,8.9,27.0,9.0,6.1,2.0,
3665,1.8,0.18,5.1,32.0,9.0,7.9,1.4,
3666,2.2,0.19,6.9,23.0,12.0,6.6,3.0,
3667,1.9,0.29,7.6,23.0,14.0,8.2,5.5,
3668,2.3,0.42,10.0,18.0,14.0,9.8,8.8,
3669,3.5,0.35,18.0,25.0,10.0,12.0,6.9,
3670,3.3,0.31,39.0,31.0,13.0,12.0,3.4,
3671,3.3,0.27,57.0,32.0,14.0,12.0,2.8,
3672,3.4,0.21,53.0,33.0,11.0,10.0,2.7,
3673,6.9,0.21,22.0,26.0,2.0,12.0,6.0,
3674,8.1,0.2,24.0,26.0,5.0,12.0,4.7,
3675,9.0,0.32,18.0,24.0,6.0,16.0,7.9,
3676,9.5,0.34,20.0,26.0,14.0,17.0,7.0,
3677,2.6,0.2,27.0,30.0,19.0,8.5,3.2,
3678,2.1,0.33,40.0,30.0,13.0,12.0,2.3,
3679,2.0,0.35,36.0,35.0,9.0,14.0,1.7,
3680,2.1,0.5,24.0,31.0,2.0,21.0,2.2,
3681,2.3,0.5,17.0,36.0,12.0,23.0,2.3,
3682,2.2,0.44,14.0,34.0,13.0,20.0,2.4,
3683,2.4,0.35,16.0,38.0,16.0,14.0,1.7,
3684,2.1,0.29,14.0,32.0,14.0,13.0,1.4,
3685,1.8,0.25,15.0,30.0,11.0,11.0,1.3,
3686,1.0,0.19,15.0,24.0,10.0,7.4,0.6,
3687,1.1,0.18,14.0,26.0,9.0,7.1,1.3,
3688,1.2,0.17,11.0,27.0,9.0,7.9,1.4,
3689,1.3,0.19,11.0,30.0,7.0,7.3,1.4,
3690,1.4,0.23,8.2,29.0,6.0,8.8,2.1,
3691,1.6,0.37,7.0,30.0,7.0,10.0,6.8,
3692,1.6,0.41,11.0,30.0,5.0,9.7,6.8,
3693,2.5,0.39,22.0,36.0,16.0,13.0,5.8,
3694,2.5,0.39,22.0,36.0,16.0,13.0,5.8,
3695,2.2,0.31,48.0,35.0,19.0,11.0,2.2,
3696,2.2,0.28,59.0,30.0,24.0,11.0,1.9,
3697,3.2,0.19,49.0,20.0,16.0,11.0,1.6,
3698,7.1,0.22,43.0,27.0,10.0,11.0,2.7,
3699,4.5,0.18,40.0,27.0,6.0,9.3,2.8,
3700,2.5,0.14,28.0,24.0,6.0,7.1,2.9,
3701,2.2,0.15,24.0,12.0,6.0,7.9,2.8,
3702,3.5,0.24,21.0,17.0,6.0,12.0,2.8,
3703,9.1,0.36,14.0,25.0,14.0,22.0,2.9,
3704,5.9,0.33,16.0,39.0,13.0,17.0,2.4,
3705,3.1,0.37,19.0,41.0,15.0,13.0,1.6,
3706,3.3,0.34,19.0,41.0,16.0,14.0,1.8,
3707,3.1,0.3,19.0,41.0,19.0,13.0,1.0,
3708,2.8,0.34,16.0,46.0,25.0,13.0,1.2,
3709,1.9,0.3,9.7,40.0,18.0,12.0,1.9,
3710,1.9,0.26,8.9,44.0,21.0,11.0,0.3,
3711,2.4,0.23,11.0,39.0,23.0,9.4,0.3,
3712,2.6,0.22,11.0,41.0,24.0,8.9,0.6,
3713,2.2,0.22,14.0,22.0,13.0,9.4,0.6,
3714,2.4,0.32,4.7,14.0,10.0,14.0,2.3,
3715,2.8,0.34,11.0,21.0,5.0,12.0,1.9,
3716,2.6,0.53,15.0,31.0,10.0,15.0,3.8,
3717,3.2,0.45,27.0,43.0,12.0,15.0,3.0,
3718,3.1,0.36,49.0,39.0,20.0,13.0,0.6,
3719,3.2,0.37,53.0,49.0,25.0,15.0,1.0,
3720,10.0,0.47,33.0,53.0,21.0,25.0,3.5,
3721,6.8,0.29,33.0,63.0,23.0,16.0,1.9,
3722,6.8,0.29,22.0,63.0,23.0,16.0,1.9,
3723,5.7,0.27,21.0,59.0,12.0,16.0,4.1,
3724,3.4,0.22,28.0,45.0,17.0,14.0,1.7,
3725,7.1,0.31,25.0,36.0,17.0,15.0,3.3,
3726,5.7,0.32,25.0,34.0,25.0,14.0,1.3,
3727,6.4,0.36,20.0,34.0,14.0,18.0,1.4,
