,SO2,CO,PM10,PM25,NO2,pr
402,0.4,0.12,80.0,15.0,12.6,
403,0.4,0.09,80.0,14.0,14.3,
404,1.2,0.09,80.0,14.0,17.5,
405,1.2,0.09,80.0,14.0,17.5,
406,1.2,0.09,80.0,14.0,17.5,
407,1.2,0.09,80.0,14.0,17.5,
408,1.2,0.09,80.0,14.0,17.5,
409,4.2,0.13,56.0,10.0,9.8,
410,3.0,0.14,51.0,9.0,10.0,
411,3.2,0.16,46.0,8.0,16.9,
412,2.3,0.17,43.0,9.0,15.2,
413,2.3,0.16,42.0,10.0,14.2,
414,1.8,0.15,41.0,9.0,12.6,
415,1.9,0.15,42.0,10.0,13.3,
416,2.3,0.16,41.0,10.0,14.2,
417,3.8,0.17,40.0,10.0,15.1,
418,4.2,0.2,40.0,12.0,16.6,
419,4.5,0.23,41.0,13.0,22.0,
420,3.9,0.28,42.0,16.0,29.5,
421,3.7,0.3,47.0,17.0,20.7,
422,3.4,0.31,54.0,18.0,14.1,
423,4.2,0.32,62.0,18.0,10.4,
424,4.2,0.31,68.0,16.0,9.8,
425,3.7,0.29,72.0,16.0,9.8,
426,3.3,0.25,72.0,16.0,12.4,
427,3.5,0.21,70.0,16.0,18.2,
428,4.2,0.17,70.0,16.0,22.1,
429,4.7,0.16,70.0,16.0,26.1,
430,4.6,0.18,70.0,16.0,22.7,
431,3.3,0.19,70.0,15.0,19.6,
432,4.4,0.21,66.0,14.0,22.9,
433,4.0,0.23,61.0,13.0,23.7,
434,3.4,0.25,56.0,12.0,23.8,
435,3.1,0.27,54.0,12.0,23.6,
436,2.3,0.28,51.0,12.0,25.2,
437,2.5,0.27,48.0,12.0,23.3,
438,3.4,0.26,46.0,11.0,17.3,
439,3.9,0.25,44.0,12.0,17.3,
440,3.8,0.26,45.0,14.0,16.5,
441,2.3,0.27,46.0,15.0,17.6,
442,6.0,0.31,48.0,17.0,21.7,
443,6.0,0.31,48.0,17.0,21.7,
444,6.0,0.31,48.0,17.0,21.7,
445,6.0,0.31,48.0,17.0,21.7,
446,5.4,0.42,64.0,24.0,21.4,
447,4.0,0.42,68.0,25.0,13.6,
448,5.5,0.4,71.0,24.0,11.8,
449,4.7,0.36,70.0,24.0,12.6,
450,4.5,0.31,68.0,22.0,13.3,
451,5.9,0.23,68.0,21.0,15.9,
452,5.9,0.19,70.0,20.0,18.7,
453,5.5,0.19,73.0,21.0,22.6,
454,6.1,0.21,75.0,21.0,22.9,
455,6.6,0.25,74.0,21.0,29.2,
456,4.8,0.28,72.0,22.0,25.5,
457,4.7,0.32,68.0,21.0,24.5,
458,7.3,0.37,66.0,21.0,23.3,
459,6.7,0.4,64.0,21.0,18.8,
460,4.6,0.4,66.0,22.0,16.3,
461,6.0,0.38,66.0,23.0,13.6,
462,4.2,0.36,66.0,24.0,11.3,
463,5.2,0.33,64.0,24.0,11.9,
464,4.8,0.31,62.0,25.0,16.3,
465,2.1,0.29,58.0,24.0,16.5,
466,2.1,0.26,56.0,24.0,18.5,
467,3.8,0.26,56.0,23.0,22.3,
468,6.7,0.27,57.0,21.0,24.2,
469,5.7,0.28,59.0,20.0,23.4,
470,5.4,0.27,64.0,20.0,12.6,
471,6.2,0.26,68.0,19.0,12.4,
472,6.3,0.25,71.0,21.0,11.3,
473,6.4,0.23,70.0,20.0,14.1,
474,6.7,0.2,66.0,17.0,12.0,
475,7.1,0.18,62.0,17.0,15.9,
476,6.0,0.16,60.0,15.0,18.5,
477,5.3,0.15,61.0,14.0,14.6,
478,5.3,0.15,62.0,15.0,13.2,
479,5.5,0.15,60.0,14.0,10.8,
480,4.4,0.16,58.0,14.0,14.7,
481,1.1,0.17,54.0,12.0,14.3,
482,1.0,0.18,48.0,10.0,9.4,
483,1.5,0.17,42.0,10.0,8.3,
484,4.6,0.16,40.0,10.0,7.8,
485,6.3,0.14,37.0,11.0,6.6,
486,7.0,0.13,36.0,12.0,4.9,
487,6.9,0.12,34.0,10.0,5.3,
488,5.1,0.1,31.0,8.0,4.5,
489,2.1,0.09,28.0,7.0,6.3,
490,3.9,0.09,26.0,6.0,11.7,
491,5.1,0.1,25.0,6.0,13.1,
492,6.2,0.1,26.0,7.0,12.2,
493,6.2,0.1,26.0,7.0,12.2,
494,6.7,0.11,34.0,5.0,12.6,
495,7.5,0.11,38.0,5.0,9.6,
496,6.0,0.12,41.0,5.0,13.3,
497,5.5,0.12,42.0,5.0,18.8,
498,6.4,0.12,45.0,6.0,16.4,
499,6.2,0.12,46.0,8.0,21.1,
500,6.9,0.14,47.0,10.0,26.0,
501,8.2,0.15,48.0,11.0,18.2,
502,8.1,0.16,48.0,11.0,15.6,
503,8.3,0.17,47.0,11.0,12.9,
504,5.0,0.18,44.0,10.0,9.5,
505,5.1,0.18,40.0,9.0,7.4,
506,2.6,0.18,36.0,9.0,6.1,
507,2.0,0.16,34.0,9.0,3.7,
508,3.0,0.14,33.0,9.0,3.5,
509,5.8,0.12,32.0,8.0,3.1,
510,7.1,0.1,33.0,7.0,2.5,
511,7.2,0.09,32.0,6.0,1.5,
512,3.1,0.08,31.0,7.0,2.1,
513,5.7,0.08,30.0,7.0,5.5,
514,2.7,0.09,30.0,8.0,8.9,
515,2.2,0.1,32.0,8.0,14.9,
516,3.6,0.11,34.0,9.0,16.5,
517,5.1,0.13,36.0,9.0,11.9,
518,4.6,0.14,38.0,8.0,10.3,
519,5.1,0.15,40.0,8.0,7.0,
520,4.3,0.16,44.0,7.0,11.6,
521,3.5,0.16,50.0,7.0,9.4,
522,6.0,0.16,56.0,8.0,10.9,
523,4.8,0.15,60.0,8.0,12.2,
524,5.5,0.14,60.0,8.0,12.5,
525,7.1,0.13,58.0,8.0,10.3,
526,7.0,0.12,55.0,7.0,7.7,
527,7.5,0.11,50.0,7.0,7.3,
528,4.0,0.11,45.0,6.0,8.1,
529,2.5,0.1,38.0,5.0,7.7,
530,1.8,0.1,35.0,4.0,6.6,
531,1.5,0.09,35.0,3.0,5.6,
532,2.8,0.09,34.0,2.0,5.6,
533,4.8,0.08,32.0,2.0,5.1,
534,6.4,0.08,28.0,2.0,5.6,
535,6.3,0.08,23.0,2.0,5.6,
536,4.5,0.07,18.0,2.0,6.9,
537,3.6,0.07,15.0,2.0,9.4,
538,1.8,0.08,16.0,3.0,11.2,
539,2.0,0.09,18.0,4.0,11.2,
540,3.2,0.09,20.0,4.0,11.8,
541,4.8,0.11,24.0,5.0,12.6,
542,5.5,0.13,27.0,5.0,14.7,
543,5.2,0.15,30.0,6.0,13.2,
544,4.7,0.16,31.0,6.0,8.5,
545,5.7,0.17,33.0,9.0,10.6,
546,7.3,0.17,35.0,9.0,14.2,
547,7.4,0.18,38.0,11.0,18.0,
548,6.5,0.2,46.0,15.0,20.5,
549,7.2,0.22,52.0,15.0,22.6,
550,7.6,0.23,56.0,16.0,22.5,
551,7.8,0.24,56.0,17.0,20.7,
552,4.5,0.26,54.0,16.0,23.0,
553,5.7,0.29,50.0,17.0,26.8,
554,4.0,0.31,50.0,18.0,25.0,
555,2.3,0.33,49.0,19.0,25.8,
556,4.6,0.33,48.0,20.0,25.4,
557,7.1,0.32,48.0,19.0,22.0,
558,8.0,0.32,47.0,18.0,20.6,
559,8.2,0.34,46.0,18.0,21.1,
560,3.7,0.36,46.0,18.0,18.4,
561,6.1,0.37,46.0,19.0,17.0,
562,4.9,0.4,46.0,20.0,20.6,
563,5.1,0.47,48.0,22.0,30.5,
564,6.3,0.52,54.0,25.0,36.2,
565,7.9,0.56,58.0,27.0,38.6,
566,7.7,0.57,64.0,30.0,27.8,
567,7.5,0.57,68.0,32.0,23.8,
568,7.2,0.56,70.0,34.0,21.1,
